MMSI,Ship Name,Global Ship Type,Ship Type,Ship Type Specific,Lenght,Breadth,Max Speed,Average Speed
238538640,CRISTAL,PASSENGER,PASSENGER,PASSENGER,48.0,9.0,8.5,7.8
238538740,AURORA,PASSENGER,PASSENGER,PASSENGER,40.0,8.0,8.1,7.4
238547610,MALI BOZO,FISHING,FISHING,FISHING,18.0,4.0,9.8,8.7
238551387,FRANKO,FISHING,FISHING,FISHING,17.0,5.0,8.0,7.6
238555640,FUTURA,PASSENGER,PASSENGER,PASSENGER,48.0,9.0,9.4,8.3
238556710,TIHOMIR,FISHING,FISHING,FISHING,20.0,6.0,7.4,7.2
238562040,BLACK SWAN,PASSENGER,PASSENGER,PASSENGER,49.0,8.0,7.5,7.0
238566240,MY WAY,PASSENGER,PASSENGER,PASSENGER,64.0,16.0,9.4,8.8
238582510,SIN KALI,FISHING,FISHING,FISHING,8.0,4.0,9.4,8.8
238584110,10705 HV CIPAL,FISHING,FISHING,FISHING,16.0,4.0,0.0,6.5
238584140,PELAGOS III,OTHER,OTHER,OTHER,25.0,9.0,9.8,9.0
238589810,PISMOLJ,FISHING,FISHING,FISHING,17.0,5.0,7.1,6.3
238592410,HRVATICA,FISHING,FISHING,FISHING,23.0,6.96,8.4,7.1
238595040,AVE MARIA,PASSENGER,PASSENGER,PASSENGER,52.0,9.0,8.6,8.2
238597110,SVILAJA,OTHER,OTHER,OTHER,31.0,7.0,9.6,8.7
238602140,NEMIRNA,FISHING,FISHING,FISHING VESSEL,25.05,7.09,9.0,6.9
238603140,CYRUS ONE,OTHER,OTHER,OTHER,34.0,8.0,16.9,12.5
238613210,NAPREDAK,PASSENGER,PASSENGER,"INLAND, PASSENGER SHIP WITHOUT ACCOMMODATION",24.5,6.1,8.9,8.3
238613310,SUSAC,SPECIAL CRAFT,PORT TENDER,TENDER,31.12,7.14,0.0,95.8
238613410,SVJETIONIK,SPECIAL CRAFT,SPECIAL CRAFT,WORK VESSEL,32.8,9.0,8.2,7.5
238613740,PLOVPUT 2,HIGH-SPEED CRAFT,HIGH-SPEED CRAFT,HIGH SPEED CRAFT,13.0,5.0,0.0,18.6
238615340,SAN ANTONIO,PASSENGER,PASSENGER,PASSENGER,45.0,9.0,9.4,7.2
238619140,BRAZIL,PLEASURE CRAFT,PLEASURE CRAFT,YACHT,36.14,8.48,18.1,12.4
238621510,OSLJAK DVA,FISHING,FISHING,FISHING VESSEL,31.4,7.32,8.7,8.3
238621640,DISPET,FISHING,FISHING,TRAWLER,29.7,6.51,8.5,7.5
238621810,MOLO,FISHING,FISHING,TRAWLER,23.19,7.07,7.5,7.2
238622140,SVETI NIKOLA,OTHER,OTHER,OTHER,15.0,11.0,7.6,7.3
238622210,MARITUNA,FISHING,FISHING,TRAWLER,23.19,7.07,9.6,7.4
238622240,GRUG,FISHING,FISHING,FISHING,24.0,8.0,8.1,7.6
238622310,DENIS,FISHING,FISHING,FISHING,25.5,6.0,0.0,7.8
238623040,LOKARDA,FISHING,FISHING,FISHING,22.0,5.0,8.6,6.5
238623940,ANTARIS,PASSENGER,PASSENGER,PASSENGER,54.0,9.0,0.0,7.3
238624910,PELAGOS II,FISHING,FISHING,FISHING VESSEL,39.3,9.68,10.9,8.1
238625840,PARADIS,PASSENGER,PASSENGER,PASSENGER,40.0,8.0,9.2,8.0
238627640,RARA AVIS,PLEASURE CRAFT,PLEASURE CRAFT,PLEASURE CRAFT,33.0,8.0,8.9,8.3
238632710,SIBENIK,SEARCH AND RESCUE,SAR,SAR,18.0,6.0,23.5,18.5
238634040,BLUFIN,FISHING,FISHING,FISHING,25.0,6.0,7.4,6.0
238634140,SIBARI II,PLEASURE CRAFT,PLEASURE CRAFT,PLEASURE CRAFT,24.0,4.0,9.5,8.6
238634410,PALAGRUZA,SPECIAL CRAFT,SPECIAL CRAFT,RESEARCH/SURVEY VESSEL,45.5,10.42,8.9,7.5
238647010,SIKAVAC,OTHER,OTHER,OTHER,13.0,4.0,9.1,8.6
238647210,SAIDA,OTHER,OTHER,OTHER,18.0,5.0,9.6,9.0
238647310,MAREA,FISHING,FISHING,FISHING,17.0,4.0,8.8,8.6
238654710,GORAN,FISHING,FISHING,TRAWLER,23.19,7.19,8.2,7.1
238657440,RIVA,PASSENGER,PASSENGER,PASSENGER,48.0,8.0,9.4,7.8
238658710,PLOVPUT 4,SPECIAL CRAFT,LOCAL VESSEL,LOCAL VESSEL,13.0,5.0,0.0,20.2
238659640,PROVIDENCA,PASSENGER,PASSENGER,PASSENGER,47.0,9.0,10.3,8.7
238669140,VABAC,FISHING,FISHING,FISHING,17.0,8.0,4.7,5.6
238669640,PRESTIGE,PASSENGER,PASSENGER,PASSENGER,48.0,9.0,8.7,7.8
238670040,AZZURRO,PASSENGER,PASSENGER,PASSENGER,49.0,8.0,9.2,7.9
238673640,MASUN,FISHING,FISHING,FISHING,21.0,6.0,8.2,7.8
238679340,KRALJICA JELENA,PASSENGER,PASSENGER,PASSENGER,48.0,9.0,9.9,8.3
238680040,MUCHO,FISHING,FISHING,TRAWLER,22.41,6.71,8.4,7.6
238680140,RELAX,PASSENGER,PASSENGER,PASSENGER,36.0,9.0,8.7,8.3
238680640,MARKAN,PASSENGER,PASSENGER,PASSENGER,48.0,9.0,8.5,8.1
238688040,BELLEZZA,PASSENGER,PASSENGER,PASSENGER,46.0,8.0,7.9,7.1
238688240,KATARINA,PASSENGER,PASSENGER,PASSENGER,45.0,8.0,8.3,7.6
238690440,SUMMER,PASSENGER,PASSENGER,PASSENGER,43.0,8.0,8.3,7.8
238691240,SON DE MAR,PLEASURE CRAFT,PLEASURE CRAFT,PLEASURE CRAFT,33.0,8.0,9.3,8.4
238698140,AURUM SKY,SAILING VESSEL,SAILING VESSEL,SAILING VESSEL,41.0,8.0,0.0,7.7
238699540,SUZANA,PASSENGER,PASSENGER,PASSENGER,38.0,8.0,9.2,8.3
238702540,MY WISH,PASSENGER,PASSENGER,PASSENGER,49.0,9.0,7.9,7.4
238742840,OREB,FISHING,FISHING,TRAWLER,25.35,6.0,8.8,8.3
238743340,PIC,FISHING,FISHING,FISHING,21.0,6.0,7.5,6.4
238743840,JURAJ DALMATINAC,PASSENGER,PASSENGER,RO-RO/PASSENGER SHIP,87.6,18.0,13.2,11.6
238744540,BALK,FISHING,FISHING,FISHING,23.0,10.0,7.5,7.4
238752740,KALI,FISHING,FISHING,TRAWLER,23.71,7.0,9.9,8.6
238759140,ANTONIA,TANKER,TANKER,OIL PRODUCTS TANKER,35.17,8.0,0.0,5.8
238760340,FORCA,TANKER,TANKER,TANKER,29.0,6.0,8.3,7.7
238764940,KORENAT,FISHING,FISHING,FISHING,27.0,8.0,8.6,8.3
238765040,NOA,FISHING,FISHING,FISHING,27.0,8.0,0.0,7.6
238765540,ARKAJ,FISHING,FISHING,FISHING,30.9,7.62,7.1,6.9
238767240,MORMORA,FISHING,FISHING,FISHING,21.0,6.0,8.1,7.2
238770640,NAPREDAK II,FISHING,FISHING,FISHING,39.3,9.68,8.2,8.0
238771340,SARDINA I,FISHING,FISHING,FISHING VESSEL,39.95,8.65,11.0,10.2
238775240,BRILJANT,FISHING,FISHING,FISHING,32.0,7.0,7.2,8.6
238791640,GARDENIA,FISHING,FISHING,FISHING,25.45,6.0,8.6,7.9
238792040,SUPORT I,FISHING,FISHING,FISHERY PATROL VESSEL,27.0,8.0,9.9,9.4
238794240,MARLIN,FISHING,FISHING,FISHING VESSEL,30.8,7.92,8.2,8.0
238795040,LJUBO,FISHING,FISHING,FISHING,22.0,6.0,0.0,7.2
238823640,KORCULA,PASSENGER,PASSENGER,RO-RO/PASSENGER SHIP,101.42,17.48,15.0,14.3
238825840,GALO,FISHING,FISHING,FISHING VESSEL,30.9,7.62,9.9,9.5
238836440,BIOKOVAC,FISHING,FISHING,FISHING,14.0,5.0,7.6,7.0
238837240,HOBOS,FISHING,FISHING,FISHING VESSEL,26.0,8.0,9.1,7.8
238838740,KORNAT,FISHING,FISHING,FISHING VESSEL,28.96,7.32,9.7,8.7
238880340,SARDINA II,FISHING,FISHING,FISHING VESSEL,39.95,8.65,11.5,10.7
238892340,PELAGOS I,FISHING,FISHING,FISHING VESSEL,23.0,6.96,9.1,8.3
238893640,KAPETAN FERD0,OTHER,OTHER,OTHER,28.0,7.0,7.3,6.8
238895840,MARJA,FISHING,FISHING,FISHING,23.0,3.0,7.4,6.9
238896040,MORSKI GALEB,FISHING,FISHING,FISHING,28.96,7.27,7.6,7.2
238899240,CARICA,FISHING,FISHING,FISHING VESSEL,30.18,7.62,0.0,9.1
238900140,ZORANA,FISHING,FISHING,FISHING,18.0,5.0,0.0,7.9
238901340,OREB JEDAN,FISHING,FISHING,FISHING,26.0,7.0,9.8,8.9
238905540,KAPETAN MARIN,FISHING,FISHING,FISHING VESSEL,26.4,7.01,8.1,7.0
238905840,ANTONI,FISHING,FISHING,FISHING VESSEL,25.0,7.57,9.3,7.5
