MMSI,Ship Name,Global Ship Type,Ship Type,Ship Type Specific,Lenght,Breadth,Max Speed,Average Speed
247186800,CALAJUNCO M,TANKER,TANKER,OIL/CHEMICAL TANKER,161.08,23.0,13.2,7.8
247219700,RINELLA M,TANKER,TANKER,OIL/CHEMICAL TANKER,179.96,32.2,14.4,9.2
247221100,SARACENA,TANKER,TANKER,OIL/CHEMICAL TANKER,155.2,25.6,9.7,7.8
247228010,STELLA DI MARE,PLEASURE CRAFT,PLEASURE CRAFT,YACHT,40.0,8.0,11.0,9.7
247229700,AIDABELLA,PASSENGER,PASSENGER,PASSENGER SHIP,251.89,37.6,20.0,6.9
247229800,ANTONISA,SAILING VESSEL,SAILING VESSEL,SAILING VESSEL,38.0,8.0,10.9,10.4
247231000,SYN ALTAIR,TANKER,TANKER - HAZARD D (RECOGNIZABLE),LPG TANKER,115.31,16.8,19.8,12.2
247235100,SYN ZUBE,TANKER,TANKER - HAZARD D (RECOGNIZABLE),LPG TANKER,95.47,15.5,14.3,10.1
247237100,AETHALIA,TANKER,TANKER,OIL/CHEMICAL TANKER,149.95,23.2,12.3,11.3
247237700,GNV AZZURRA,PASSENGER,PASSENGER,RO-RO/PASSENGER SHIP,168.49,26.4,17.4,16.8
247239100,EISVOGEL,TUG,TUG,TUG,35.93,9.7,7.1,6.3
247242200,CANNETO M,TANKER,TANKER,OIL/CHEMICAL TANKER,161.08,23.0,15.6,12.3
247256600,ARDENZA,TANKER,TANKER,OIL/CHEMICAL TANKER,135.0,24.0,11.2,9.6
247282500,AIDABLU,PASSENGER,PASSENGER,PASSENGER SHIP,253.33,37.6,16.1,15.2
247282900,COSTA DELIZIOSA,PASSENGER,PASSENGER,PASSENGER SHIP,294.0,32.3,19.2,17.8
247285600,CDRY WHITE,CARGO,CARGO,GENERAL CARGO,108.19,18.2,11.9,9.5
247286700,CRUISE SARDEGNA,PASSENGER,PASSENGER,RO-RO/PASSENGER SHIP,225.0,30.41,21.5,20.0
247286900,SDS RED,CARGO,CARGO,GENERAL CARGO,108.19,18.2,11.7,7.1
247292200,SDS GREEN,CARGO,CARGO,GENERAL CARGO,108.19,18.2,11.6,7.1
247292400,CDRY BROWN,CARGO,CARGO,GENERAL CARGO,108.19,18.2,12.7,8.9
247293700,HERMANA,CARGO,CARGO,GENERAL CARGO,140.3,20.0,14.7,12.6
247296500,EUROCARGO ALEXANDRIA,CARGO,CARGO,RO-RO CARGO,200.85,26.5,18.3,16.9
247306500,NATIVA,SAILING VESSEL,SAILING VESSEL,SAILING VESSEL,48.0,9.0,9.8,8.4
247307130,MARIO LC,FISHING,FISHING,FISHING,20.0,4.0,11.0,6.7
247310200,CDRY BLACK,CARGO,CARGO,GENERAL CARGO,108.19,18.2,13.0,10.6
247312600,AF FRANCESCA,PASSENGER,PASSENGER,RO-RO/PASSENGER SHIP,147.97,25.4,15.1,14.5
247313600,MARMED,CARGO,CARGO,GENERAL CARGO,108.19,18.2,15.3,9.2
247315500,LAMPEDUSA,PASSENGER,PASSENGER,RO-RO/PASSENGER SHIP,125.66,18.5,11.3,9.9
247323600,TTOHANA,OTHER,OTHER,OTHER,11.0,3.0,13.6,7.1
247324300,AF MARINA,PASSENGER,PASSENGER,RO-RO/PASSENGER SHIP,167.9,22.0,16.8,16.2
247337500,SEVEN,PLEASURE CRAFT,PLEASURE CRAFT,YACHT,58.6,11.15,14.5,8.3
247351000,IEVOLI SPEED,TANKER,TANKER,OIL/CHEMICAL TANKER,109.95,18.0,13.5,6.6
247362200,SNAV AQUILA,PASSENGER,PASSENGER,PASSENGER SHIP,40.2,10.1,22.0,24.0
247362300,SARACENO PRIMO,TUG,TUG,TUG,32.34,13.0,9.0,7.9
247391200,ALF POLLAK,CARGO,CARGO,RO-RO CARGO,209.84,26.0,19.9,17.0
247391700,AF CLAUDIA,PASSENGER,PASSENGER,RO-RO/PASSENGER SHIP,186.49,25.6,15.9,15.4
247430200,LADY MARIELLA,TANKER,TANKER,OIL/CHEMICAL TANKER,183.2,27.43,9.0,7.7
247431600,LADY RINA,TANKER,TANKER,OIL/CHEMICAL TANKER,183.2,27.43,16.4,8.1
247556000,ZENIT,PASSENGER,PASSENGER,PASSENGER SHIP,36.35,11.3,27.1,23.5
248000192,THETIS II,PLEASURE CRAFT,PLEASURE CRAFT,PLEASURE CRAFT,20.0,6.0,7.5,7.0
248000196,ONE BLUE,PLEASURE CRAFT,PLEASURE CRAFT,PLEASURE CRAFT,39.0,8.0,13.6,11.5
248000436,EVERGREEN G,PLEASURE CRAFT,PLEASURE CRAFT,PLEASURE CRAFT,34.0,7.0,0.0,10.3
248000734,INDIGO,OTHER,OTHER,OTHER,15.0,11.0,0.0,7.1
248000893,SANTA MARIA T,PLEASURE CRAFT,PLEASURE CRAFT,PLEASURE CRAFT,36.0,8.0,11.6,9.2
248018000,SIMONA,CARGO,CARGO,GENERAL CARGO,99.89,16.6,11.6,9.3
248060000,SYNTHESIS 66,PLEASURE CRAFT,PLEASURE CRAFT,YACHT,42.0,8.0,14.2,10.8
248068000,CASA,OTHER,OTHER,OTHER,29.0,6.0,21.7,17.0
248097000,AST MALTA,CARGO,CARGO,GENERAL CARGO,99.63,16.9,8.3,6.3
248101000,WILLOW,PLEASURE CRAFT,PLEASURE CRAFT,YACHT,42.0,8.0,17.0,16.1
248106000,THE LAUGHING LOBBES,PLEASURE CRAFT,PLEASURE CRAFT,PLEASURE CRAFT,18.0,6.0,14.1,8.5
248132000,LUCKY SAILOR,TANKER,TANKER,OIL/CHEMICAL TANKER,184.0,27.44,14.4,10.9
248141000,MARIA VITTORIA Z,SPECIAL CRAFT,DREDGER,HOPPER DREDGER,84.2,19.0,8.7,7.8
248201000,BLADE 2,PLEASURE CRAFT,PLEASURE CRAFT,YACHT,44.0,8.0,13.1,11.9
248232000,KAHALANI,PLEASURE CRAFT,PLEASURE CRAFT,YACHT,55.18,10.3,15.0,7.2
248258000,Y4H,PLEASURE CRAFT,PLEASURE CRAFT,PLEASURE CRAFT,39.0,8.0,10.2,8.8
248287000,SOLANDGE,PLEASURE CRAFT,PLEASURE CRAFT,YACHT,85.0,14.0,14.9,11.9
248291000,SILVER WAVE,PLEASURE CRAFT,PLEASURE CRAFT,YACHT,45.7,8.7,23.3,12.1
248311000,INDIGO STAR,PLEASURE CRAFT,PLEASURE CRAFT,YACHT,38.0,7.7,13.3,11.7
248456000,PRINCESS TOO,PLEASURE CRAFT,PLEASURE CRAFT,YACHT,47.5,9.0,10.7,7.5
248472000,ZEALAND ZARIA,CARGO,CARGO,BULK CARRIER,157.0,24.8,14.9,10.1
248477000,GENEVIEVE,PLEASURE CRAFT,PLEASURE CRAFT,YACHT,37.0,8.0,9.3,8.7
248498000,IPHARRA,PLEASURE CRAFT,PLEASURE CRAFT,YACHT,31.3,12.0,7.0,6.6
248499000,SERENITY II,PLEASURE CRAFT,PLEASURE CRAFT,YACHT,40.05,8.0,7.8,7.2
248525000,LADY TRUDY,PLEASURE CRAFT,PLEASURE CRAFT,YACHT,42.6,9.0,14.7,10.7
248527000,SAN,TANKER,TANKER,TANKER,239.0,38.0,13.1,12.7
248549000,NEPTUNE ILIAD,CARGO,CARGO,VEHICLES CARRIER,169.58,28.02,18.7,8.6
248569000,CLEAR EYES,SAILING VESSEL,SAILING VESSEL,SAILING VESSEL,39.0,9.0,10.5,8.0
248583000,KANGA,PLEASURE CRAFT,PLEASURE CRAFT,YACHT,40.0,9.0,13.8,11.2
248618000,FALCO MOSCATA,PLEASURE CRAFT,PLEASURE CRAFT,YACHT,49.5,9.2,12.8,11.8
248702000,AFRICA I,PLEASURE CRAFT,PLEASURE CRAFT,YACHT,47.0,8.5,0.0,12.0
248704000,O'PTASIA,PLEASURE CRAFT,PLEASURE CRAFT,YACHT,85.0,13.8,17.2,16.3
248715000,MEIRA,PLEASURE CRAFT,PLEASURE CRAFT,YACHT,50.0,10.0,11.8,11.1
248718000,LADY MRD,PLEASURE CRAFT,PLEASURE CRAFT,YACHT,43.0,9.0,14.2,13.1
248739000,PLANET NINE,PLEASURE CRAFT,PLEASURE CRAFT,YACHT,73.8,13.0,15.5,9.3
248762000,AZAMARA PURSUIT,PASSENGER,PASSENGER,PASSENGER SHIP,181.0,25.76,17.5,15.0
248763000,MARE BLU 1,PASSENGER,PASSENGER,PASSENGER SHIP,101.42,17.48,8.5,7.9
248785000,STAR FLYER,PASSENGER,PASSENGER,PASSENGER SHIP,111.57,15.14,8.8,7.3
248786000,STAR CLIPPER,PASSENGER,PASSENGER,PASSENGER SHIP,111.57,15.14,9.3,7.6
248802000,KAIROS,PLEASURE CRAFT,PLEASURE CRAFT,YACHT,33.1,8.19,7.7,6.7
248817000,CHEETAH MOON,PLEASURE CRAFT,PLEASURE CRAFT,YACHT,38.36,7.54,12.3,10.7
248820000,AUMICHAKIAD,PLEASURE CRAFT,PLEASURE CRAFT,PLEASURE CRAFT,37.0,8.0,13.0,8.4
248838000,ORIENT STAR,PLEASURE CRAFT,PLEASURE CRAFT,YACHT,47.0,9.0,12.8,10.2
248873000,ILLUSION I,PLEASURE CRAFT,PLEASURE CRAFT,YACHT,55.72,9.15,14.6,12.7
248881000,CHARADE,PLEASURE CRAFT,PLEASURE CRAFT,PLEASURE CRAFT,38.0,8.0,13.2,10.7
248953000,SEA CLOUD II,PASSENGER,PASSENGER,PASSENGER SHIP,105.9,16.15,11.8,6.1
248983000,VIBRANT CURIOSITY,PLEASURE CRAFT,PLEASURE CRAFT,YACHT,85.43,13.8,13.6,10.6
249037000,ATLANTIC GREEN,CARGO,CARGO,CONTAINER SHIP,134.44,22.5,15.5,13.0
249046000,CELEBRITY CONSTELLATION,PASSENGER,PASSENGER,PASSENGER SHIP,294.0,37.4,9.4,8.5
249048000,CELEBRITY INFINITY,PASSENGER,PASSENGER,PASSENGER SHIP,294.0,32.0,17.5,16.7
249050000,PG GAS PIONEER,TANKER,TANKER - HAZARD D (RECOGNIZABLE),LPG TANKER,88.0,14.8,10.9,6.9
249053000,MARELLA VOYAGER,PASSENGER,PASSENGER,PASSENGER SHIP,263.9,36.0,13.7,10.5
249054000,MARELLA EXPLORER 2,PASSENGER,PASSENGER,PASSENGER SHIP,246.5,32.2,10.2,9.2
249063000,SAN FRANGISK,HIGH-SPEED CRAFT,HIGH-SPEED CRAFT,HIGH SPEED CRAFT,35.43,11.3,32.9,31.8
249069000,ARETHUSA,PASSENGER,PASSENGER,PASSENGER SHIP,59.6,10.68,10.9,9.7
249093000,BEACHOUSE,PLEASURE CRAFT,PLEASURE CRAFT,PLEASURE CRAFT,40.0,8.0,25.8,17.9
249173000,GRACE I,CARGO,CARGO,GENERAL CARGO,112.76,17.6,14.4,7.3
249348000,NEW GEMINI,CARGO,CARGO,GENERAL CARGO,96.9,15.82,12.6,9.9
249373000,MIA RAMA,PLEASURE CRAFT,PLEASURE CRAFT,YACHT,53.54,9.2,14.0,12.9
249382000,WHISPERING ANGEL,PLEASURE CRAFT,PLEASURE CRAFT,YACHT,36.4,7.4,22.4,16.7
249570000,X PRESS SHANNON,CARGO,CARGO,CONTAINER SHIP,134.44,22.74,13.0,9.9
249606000,MENORCA,PLEASURE CRAFT,PLEASURE CRAFT,YACHT,48.52,8.82,11.1,6.4
249610000,RIANA,SAILING VESSEL,SAILING VESSEL,SAILING VESSEL,40.0,8.0,9.3,6.1
249639000,MARELLA DISCOVERY,PASSENGER,PASSENGER,PASSENGER SHIP,264.26,36.3,19.1,17.3
249660000,MEIN SCHIFF 6,PASSENGER,PASSENGER,PASSENGER SHIP,295.26,42.3,18.8,14.0
249664000,HARMONY III,PLEASURE CRAFT,PLEASURE CRAFT,YACHT,43.6,8.96,13.4,10.4
249667000,CELEBRITY EQUINOX,PASSENGER,PASSENGER,PASSENGER SHIP,317.2,36.9,18.6,14.2
249678000,BABY J,PLEASURE CRAFT,PLEASURE CRAFT,PLEASURE CRAFT,35.0,6.0,0.0,6.8
249680000,EASTCOAST,CARGO,CARGO,GENERAL CARGO,64.0,9.53,10.4,9.4
249725000,PARILLION,PLEASURE CRAFT,PLEASURE CRAFT,YACHT,48.18,8.0,17.1,11.9
249748000,SOUTHWIND OF,SAILING VESSEL,SAILING VESSEL,SAILING VESSEL,40.0,8.0,10.4,9.7
249801000,ATLANTA,CARGO,CARGO,GENERAL CARGO,140.3,20.0,10.5,6.6
249809000,THE AQUARIUS,PLEASURE CRAFT,PLEASURE CRAFT,YACHT,46.0,9.0,13.3,9.5
249991000,N2H,PLEASURE CRAFT,PLEASURE CRAFT,YACHT,50.0,9.0,11.3,10.3
253081000,CAROLINE SEA II,PLEASURE CRAFT,PLEASURE CRAFT,YACHT,43.07,7.62,15.0,13.3
253666000,C3 RUBICON,CARGO,CARGO,CEMENT CARRIER,122.0,19.0,5.9,6.0
255717000,OCEAN MAJESTY,PASSENGER,PASSENGER,PASSENGER SHIP,136.0,19.2,18.2,16.2
255797000,MSC VERACRUZ,CARGO,CARGO,CONTAINER SHIP,294.07,32.29,15.5,14.5
255801380,ASTORIA,PASSENGER,PASSENGER,PASSENGER SHIP,160.07,21.0,0.0,6.8
255804670,BARON TRENCK,SPECIAL CRAFT,SPECIAL CRAFT,SPECIAL VESSEL,43.5,8.2,12.6,11.9
255804840,SOUSELAS,CARGO,CARGO,BULK CARRIER,158.0,23.0,13.8,10.1
255805480,LIBERTAS H,CARGO,CARGO,GENERAL CARGO,126.85,20.47,13.2,5.9
255805583,CHEM SEA 1,TANKER,TANKER,OIL/CHEMICAL TANKER,160.0,25.0,16.2,11.1
255805599,DEVON,CARGO,CARGO,CONTAINER SHIP,147.82,23.25,15.9,13.4
255805740,DON JUAN,CARGO,CARGO,BULK CARRIER,158.0,23.0,15.2,12.4
255805846,MOVEON,CARGO,CARGO,CONTAINER SHIP,134.61,22.5,18.6,13.8
255805938,BREB MUKRAN,CARGO,CARGO,GENERAL CARGO,100.62,16.2,10.6,9.8
255805968,MSC LUNA F,CARGO,CARGO,CONTAINER SHIP,139.1,22.6,10.2,5.8
255806040,ELENA,CARGO,CARGO,BULK CARRIER,158.48,25.0,13.1,6.2
255806041,BREB CUXHAVEN,CARGO,CARGO,GENERAL CARGO,108.17,18.5,11.7,8.1
255806042,BREB COURAGEOUS,CARGO,CARGO,GENERAL CARGO,108.21,18.5,13.1,11.6
255806043,BREB COUNTESS,CARGO,CARGO,GENERAL CARGO,108.16,18.5,11.0,8.8
255806044,BREB COURTESY,CARGO,CARGO,GENERAL CARGO,108.2,18.5,11.5,5.7
255806046,OSLO BULK 11,CARGO,CARGO,GENERAL CARGO,108.2,18.2,11.5,10.1
255806051,OSLO BULK 12,CARGO,CARGO,GENERAL CARGO,108.2,18.2,14.2,8.0
255806061,NACC STAR,CARGO,CARGO,CEMENT CARRIER,109.91,16.8,12.8,10.9
255806130,HOLLUM,CARGO,CARGO,GENERAL CARGO,115.49,16.85,10.7,9.0
255806133,SIDER MONICA,CARGO,CARGO,GENERAL CARGO,108.21,18.2,11.5,9.6
255806144,FORT,TUG,TUG,TUG,45.64,13.2,6.7,5.2
255806158,SIDER RODI,CARGO,CARGO,GENERAL CARGO,108.2,18.2,10.7,7.4
255806161,MASHA D,CARGO,CARGO,GENERAL CARGO,108.21,18.48,10.4,8.6
255806162,ANNAMARIA D,CARGO,CARGO,GENERAL CARGO,108.17,18.5,12.3,6.9
255806219,SPIRIT OF CHENNAI,CARGO,CARGO,CONTAINER SHIP,159.91,24.7,13.8,12.8
255806251,ROBERTO,FISHING,FISHING,FISHING,32.79,8.0,0.0,0.0
255806259,SUNAID X,CARGO,CARGO,CONTAINER SHIP,129.6,20.6,12.6,12.1
255806260,MANISA SOLE,CARGO,CARGO,GENERAL CARGO,108.2,18.5,10.5,9.7
255806287,SIDER BUFFALO,CARGO,CARGO,GENERAL CARGO,109.9,16.0,11.2,10.0
255806363,PERSEUS,CARGO,CARGO,CONTAINER SHIP,140.38,23.03,13.1,12.4
255910770,BONUM,PLEASURE CRAFT,PLEASURE CRAFT,YACHT,38.0,9.0,4.9,8.4
256000826,LADAGIO BBLOND,PLEASURE CRAFT,PLEASURE CRAFT,PLEASURE CRAFT,24.0,7.0,9.2,8.2
256009000,MY LES BRUXELLOIS,PASSENGER,PASSENGER,HOUSEBOAT,38.0,8.0,13.2,10.2
256077000,PORTARIA,TANKER,TANKER,OIL/CHEMICAL TANKER,184.33,27.44,13.2,11.6
256084000,SEA CLOUD,PASSENGER,PASSENGER,PASSENGER SHIP,96.35,15.24,8.0,7.1
256100000,ZALIV III,PLEASURE CRAFT,PLEASURE CRAFT,YACHT,49.36,9.0,17.6,13.4
256104000,CMA CGM GANGES,CARGO,CARGO,CONTAINER SHIP,299.92,48.28,17.3,13.9
256132000,MGD JOY,CARGO,CARGO,GENERAL CARGO,157.23,26.8,11.3,9.7
256146000,GUILLEMOT,SAILING VESSEL,SAILING VESSEL,SAILING VESSEL,43.0,9.0,11.7,9.4
256177000,ST SARA,TANKER,TANKER,OIL/CHEMICAL TANKER,122.66,17.2,8.8,7.9
256188000,TATIANA 1,OTHER,OTHER,OTHER,44.0,8.0,12.5,8.3
256204000,AZAMARA JOURNEY,PASSENGER,PASSENGER,PASSENGER SHIP,181.0,25.46,15.6,11.6
256207000,WOLF,CARGO,CARGO,GENERAL CARGO,108.2,18.2,10.9,9.1
256208000,CMA CGM TARRAGONA,CARGO,CARGO,CONTAINER SHIP,261.06,32.3,19.4,10.6
256209000,LIBERA,TANKER,TANKER,OIL/CHEMICAL TANKER,175.96,31.0,13.7,12.0
256210000,MARVEA,TANKER,TANKER,OIL/CHEMICAL TANKER,175.9,31.0,14.1,9.1
256216000,AZAMARA QUEST,PASSENGER,PASSENGER,PASSENGER SHIP,181.0,25.46,15.8,13.0
256224000,LEONARDO III,PLEASURE CRAFT,PLEASURE CRAFT,YACHT,42.0,8.0,13.4,8.3
256282000,SEAGULL II,PLEASURE CRAFT,PLEASURE CRAFT,YACHT,54.21,8.56,12.5,11.5
256294000,ATOM,PLEASURE CRAFT,PLEASURE CRAFT,PLEASURE CRAFT,34.0,8.0,8.8,6.9
256329000,VILLA NAUTIC,PLEASURE CRAFT,PLEASURE CRAFT,PLEASURE CRAFT,21.0,6.0,10.7,7.8
256350000,PERSENK,CARGO,CARGO,BULK CARRIER,176.2,26.0,14.2,9.8
256387000,GANDA,CARGO,CARGO,GENERAL CARGO,79.94,12.5,11.4,6.8
256393000,THE WELLESLEY,PLEASURE CRAFT,PLEASURE CRAFT,YACHT,55.55,9.2,14.6,6.6
256424000,ATHENA,PASSENGER,PASSENGER,PASSENGER SHIP,59.6,10.68,10.0,8.9
256428000,TARANSAY,PLEASURE CRAFT,PLEASURE CRAFT,YACHT,40.0,8.0,13.6,12.1
256436000,ARTEMIS,PASSENGER,PASSENGER,PASSENGER SHIP,59.6,10.68,9.2,5.9
256445000,SANTA LUCIA,TANKER,TANKER,OIL/CHEMICAL TANKER,102.9,15.63,8.2,7.6
256457000,GARDENIA,PLEASURE CRAFT,PLEASURE CRAFT,YACHT,33.0,6.2,13.0,10.3
256513000,XO OF THE SEAS,PLEASURE CRAFT,PLEASURE CRAFT,PLEASURE CRAFT,33.0,8.0,8.8,8.1
256579000,VERA A,CARGO,CARGO,CONTAINER SHIP,141.5,22.6,14.1,9.9
256591000,IRA,PLEASURE CRAFT,PLEASURE CRAFT,PLEASURE CRAFT,44.0,8.0,18.9,11.4
256593000,MR.T,PLEASURE CRAFT,PLEASURE CRAFT,YACHT,46.3,9.0,12.5,11.6
256621000,FERASET,CARGO,CARGO,GENERAL CARGO,157.23,26.8,11.0,9.8
256670000,LADY GOODGIRL,PLEASURE CRAFT,PLEASURE CRAFT,YACHT,42.3,7.92,0.0,8.0
256678000,FOX,CARGO,CARGO,BULK CARRIER,119.95,16.8,14.0,9.6
256701000,DRIZZLE,PLEASURE CRAFT,PLEASURE CRAFT,YACHT,68.77,11.4,15.3,10.6
256821000,RIMONA,CARGO,CARGO,BULK CARRIER,119.95,16.8,12.8,9.4
256839000,ARBEMA,PLEASURE CRAFT,PLEASURE CRAFT,YACHT,49.9,9.19,11.4,9.3
256918000,YM FUJI,CARGO,CARGO,GENERAL CARGO,131.0,19.0,12.6,11.3
256946000,ETOILE DAZUR,PLEASURE CRAFT,PLEASURE CRAFT,YACHT,30.38,7.3,12.3,9.3
256969000,2 LADIES,PLEASURE CRAFT,PLEASURE CRAFT,YACHT,46.35,9.0,9.9,8.9
256997000,LALIBELA,PLEASURE CRAFT,PLEASURE CRAFT,YACHT,41.76,7.32,11.7,10.7
257052080,NORVEIG,FISHING,FISHING,FISHING,15.0,12.0,10.2,8.1
257058920,VIKING JUPITER,PASSENGER,PASSENGER,PASSENGER SHIP,229.0,28.0,15.0,12.8
257077550,WILSON SUND,CARGO,CARGO,GENERAL CARGO,112.7,15.5,12.6,6.9
257179000,NORWIND GALE,SPECIAL CRAFT,SPECIAL CRAFT,WORK VESSEL,89.0,19.5,11.3,7.2
257903000,VIKING STAR,PASSENGER,PASSENGER,PASSENGER SHIP,228.2,28.8,19.2,15.1
257954530,COCO NOR7901,SAILING VESSEL,SAILING VESSEL,SAILING VESSEL,16.0,5.0,9.5,7.3
258140470,RINGJEN,FISHING,FISHING,FISHING,17.0,5.0,8.3,7.3
258215000,VIKING SEA,PASSENGER,PASSENGER,PASSENGER SHIP,228.2,28.8,11.1,9.5
259186000,VIKING SKY,PASSENGER,PASSENGER,PASSENGER SHIP,228.28,34.0,10.7,9.4
261014810,LB01,SPECIAL CRAFT,MILITARY OPS,MILITARY OPS,45.0,9.0,8.6,6.4
262500070,TOPOLICA,TUG,TUG,TUG,25.02,8.79,8.7,7.0
262500080,SOZINA,TUG,TUG,TUG,25.2,8.69,8.3,6.2
264800057,MIRCEA,SAILING VESSEL,SAILING VESSEL,SAILING VESSEL,43.0,9.0,7.9,6.1
265698710,ELINOR,PLEASURE CRAFT,PLEASURE CRAFT,PLEASURE CRAFT,13.0,3.0,10.6,6.7
265756140,PINK CLOUD,SAILING VESSEL,SAILING VESSEL,SAILING VESSEL,17.0,5.0,7.0,5.9
265779460,FLORE,PLEASURE CRAFT,PLEASURE CRAFT,PLEASURE CRAFT,22.0,7.0,18.8,17.4
271000220,KAFKAMETLER,CARGO,CARGO,GENERAL CARGO,87.5,12.0,10.5,9.2
271000601,MEHMET UNLU,CARGO,CARGO,GENERAL CARGO,115.69,16.5,11.7,8.3
271000609,BMI EXPRESS,CARGO,CARGO,CONTAINER SHIP,113.8,16.2,11.2,10.1
271000662,OLYMPOS SEAWAYS,CARGO,CARGO,RO-RO CARGO,193.0,26.04,21.8,20.5
271000732,DENIZKONAK,CARGO,CARGO,GENERAL CARGO,80.5,12.5,13.5,6.1
271000766,MIRA AKAY,CARGO,CARGO,GENERAL CARGO,101.5,16.4,12.6,9.3
271000770,SAFIYE ANA,CARGO,CARGO,GENERAL CARGO,87.2,13.0,11.2,10.4
271000781,BMI EMPEROR,CARGO,CARGO,GENERAL CARGO,113.09,16.4,9.2,6.6
271000833,ASLI ELIF,CARGO,CARGO,GENERAL CARGO,88.83,13.0,14.6,6.9
271000854,UNLU 5,CARGO,CARGO,GENERAL CARGO,99.6,14.0,8.9,7.2
271000930,ALIYE HANIM,CARGO,CARGO,GENERAL CARGO,87.2,12.3,9.3,8.3
271002083,AZIZE,CARGO,CARGO,GENERAL CARGO,84.1,13.0,9.5,8.8
271040344,SUNKISS,SPECIAL CRAFT,PILOT VESSEL,PILOT VESSEL,32.0,8.0,7.4,6.7
271043190,DONAU EKSPRES II,CARGO,CARGO,GENERAL CARGO,97.18,12.5,9.3,8.0
271043386,THETA,OTHER,OTHER,OTHER,17.0,4.0,8.8,8.1
271043610,JULEM,PLEASURE CRAFT,PLEASURE CRAFT,PLEASURE CRAFT,38.0,9.0,16.9,12.6
271044157,TRAMONTANA CH,SAILING VESSEL,SAILING VESSEL,SAILING VESSEL,17.0,4.0,6.7,5.7
271044329,KILIC,CARGO,CARGO,GENERAL CARGO,83.0,13.0,9.1,7.2
272059000,OREL 5,CARGO,CARGO,GENERAL CARGO,108.4,14.8,10.0,7.4
272140000,IZMAIL,CARGO,CARGO,GENERAL CARGO,88.45,15.68,9.9,7.9
272144000,RENI,CARGO,CARGO,GENERAL CARGO,88.45,15.68,9.4,7.8
272544000,PORADA,CARGO,CARGO,GENERAL CARGO,114.03,13.21,8.4,7.7
273214080,POLA MARINA,CARGO,CARGO,GENERAL CARGO,141.0,16.98,9.5,8.2
273310130,VOLZHSKIY 45,CARGO,CARGO,GENERAL CARGO,139.0,16.7,10.6,7.0
273331200,VOLGO BALT 216,CARGO,CARGO,GENERAL CARGO,113.79,13.19,8.0,6.3
273352710,CHAYKA,PLEASURE CRAFT,PLEASURE CRAFT,YACHT,53.9,9.4,0.0,8.3
273356870,ESENIYA,CARGO,CARGO,GENERAL CARGO,98.9,13.8,12.3,7.6
273362000,SORMOVSKIY 3068,CARGO,CARGO,GENERAL CARGO,118.7,13.4,11.4,7.4
273363000,SORMOVSKIY 3063,CARGO,CARGO,GENERAL CARGO,118.7,13.4,10.4,9.4
273374100,VOLGO DON 211,CARGO,CARGO,GENERAL CARGO,138.74,16.5,8.9,6.7
273413470,FENIKS,PLEASURE CRAFT,PLEASURE CRAFT,PLEASURE CRAFT,3.0,2.0,11.2,9.9
273435130,ONIX,CARGO,CARGO,GENERAL CARGO,108.4,15.0,8.8,8.4
273451690,NAVIS 6,CARGO,CARGO,GENERAL CARGO,123.17,16.75,16.9,6.4
275498000,FEHN LIGHT,CARGO,CARGO,GENERAL CARGO,107.03,18.42,14.5,6.1
277373000,AQUARIUS,CARGO,CARGO,GENERAL CARGO,81.4,9.46,12.4,7.4
278046000,SIRIUS,TUG,TUG,TUG,28.5,8.4,7.1,6.2
304010711,C.CAPELLA,CARGO,CARGO,GENERAL CARGO,87.76,12.9,12.5,9.0
304010998,GULF EXPRESS,CARGO,CARGO,GENERAL CARGO,93.28,16.5,8.0,6.9
304048000,CEMENT TRADER,CARGO,CARGO,CEMENT CARRIER,106.18,14.91,11.6,9.9
304072000,SILVER LION,CARGO,CARGO,GENERAL CARGO,127.4,17.0,9.2,5.8
304073000,CEMENT COURIER,CARGO,CARGO,GENERAL CARGO,96.63,16.01,11.1,9.1
304081008,GRIETJE,CARGO,CARGO,GENERAL CARGO,151.58,20.4,18.7,7.6
304320000,GULF,CARGO,CARGO,GENERAL CARGO,96.3,13.4,8.9,7.5
304444000,CLARA,CARGO,CARGO,CARGO/CONTAINERSHIP,106.15,14.4,10.6,8.0
304469000,BELLINGSHAUSEN,CARGO,CARGO,GENERAL CARGO,87.98,12.8,8.7,7.8
304474000,PEYTON LYNN C,CARGO,CARGO,CONTAINER SHIP,140.67,23.54,18.1,14.0
304483000,GOLDEN BAY,CARGO,CARGO,CEMENT CARRIER,97.9,16.64,9.5,8.4
304623000,KATHERINE BORCHARD,CARGO,CARGO,CONTAINER SHIP,134.44,22.74,14.5,13.9
304655000,GULF WIND,CARGO,CARGO,GENERAL CARGO,87.0,13.0,8.3,7.0
304713000,SPANACO FIDELITY,CARGO,CARGO,GENERAL CARGO,89.98,15.4,13.2,9.1
304806000,DEEP STORY,PLEASURE CRAFT,PLEASURE CRAFT,YACHT,45.16,8.5,13.5,9.2
305040000,JASMINE,CARGO,CARGO,GENERAL CARGO,89.88,15.4,12.8,7.8
305211000,KATARIINA,CARGO,CARGO,GENERAL CARGO,94.7,13.44,11.5,8.6
305299000,SUSAN BORCHARD,CARGO,CARGO,CONTAINER SHIP,134.44,22.74,17.9,14.3
305537000,BBC AUSTRALIA,CARGO,CARGO,GENERAL CARGO,115.47,16.84,14.0,8.6
